Category: All categories

Day,THE POWER OF THE DOG oscar: (United States),WEST SIDE STORY oscar: (United States)
2021-12-26,0,0
2021-12-27,0,0
2021-12-28,0,0
2021-12-29,0,0
2021-12-30,0,0
2021-12-31,0,0
2022-01-01,0,0
2022-01-02,0,0
2022-01-03,0,0
2022-01-04,0,0
2022-01-05,0,0
2022-01-06,0,0
2022-01-07,0,0
2022-01-08,0,0
2022-01-09,0,0
2022-01-10,0,0
2022-01-11,0,0
2022-01-12,0,0
2022-01-13,0,0
2022-01-14,0,0
2022-01-15,0,0
2022-01-16,0,0
2022-01-17,0,0
2022-01-18,0,0
2022-01-19,0,0
2022-01-20,0,0
2022-01-21,0,0
2022-01-22,0,0
2022-01-23,0,0
2022-01-24,0,0
2022-01-25,0,0
2022-01-26,0,0
2022-01-27,0,0
2022-01-28,0,0
2022-01-29,0,0
2022-01-30,0,0
2022-01-31,0,0
2022-02-01,0,0
2022-02-02,0,0
2022-02-03,0,0
2022-02-04,0,0
2022-02-05,0,0
2022-02-06,0,0
2022-02-07,0,0
2022-02-08,100,24
2022-02-09,80,17
2022-02-10,22,5
2022-02-11,19,6
2022-02-12,25,7
2022-02-13,28,8
2022-02-14,10,0
2022-02-15,8,0
2022-02-16,7,0
2022-02-17,7,0
2022-02-18,10,0
2022-02-19,10,7
2022-02-20,13,4
2022-02-21,8,0
2022-02-22,6,0
2022-02-23,4,0
2022-02-24,0,3
2022-02-25,3,0
2022-02-26,7,0
2022-02-27,10,0
2022-02-28,5,0
2022-03-01,3,0
2022-03-02,0,0
2022-03-03,0,7
2022-03-04,0,6
2022-03-05,0,7
2022-03-06,6,10
2022-03-07,3,7
2022-03-08,0,0
2022-03-09,0,0
2022-03-10,0,0
2022-03-11,0,0
2022-03-12,5,7
2022-03-13,7,9
2022-03-14,5,4
2022-03-15,4,3
2022-03-16,3,0
2022-03-17,4,0
2022-03-18,5,0
2022-03-19,6,4
2022-03-20,7,0
2022-03-21,6,4
2022-03-22,6,6
2022-03-23,5,3
2022-03-24,7,4
2022-03-25,9,5
2022-03-26,19,9
